stand,latcoord,longcoord
101,51.420376041666664,12.21208611111111
102,51.42033,12.212326458333333
103,51.420267777777774,12.212673472222221
104,51.42021097222222,12.213002916666666
105,51.42017111111111,12.213233888888889
106,51.42013229166666,12.213453888888889
107,51.42008298611111,12.213731666666666
108,51.42003388888889,12.214007152777777
109,51.41998965277777,12.214257638888888
110,51.419945,12.21450736111111
111,51.419900347222224,12.214740208333332
112,51.41961583333333,12.215051527777778
113,51.41957583333333,12.215271180555554
114,51.419517638888884,12.215585347222222
115,51.41945951388888,12.215894652777777
116,51.419405902777775,12.216187777777778
117,51.41934354166666,12.216537708333332
118,51.419289375,12.216851041666667
119,51.419228125,12.217208055555556
120,51.41916458333333,12.217556944444445
121,51.419126319444445,12.217759861111112
126,51.41927305555555,12.218765555555557
128,51.41912444444444,12.21947
130,51.41897972222222,12.220263055555556
132,51.41885388888889,12.221036388888889
134,51.41871138888889,12.22179388888889
136,51.41858111111111,12.222555833333333
137,51.41851465277777,12.223093888888888
138,51.41847104166666,12.223364513888889
139,51.418421458333334,12.223682291666666
201R,51.40794381944444,12.197852708333334
201,51.40796159722222,12.198143402777777
202,51.40798458333333,12.198561180555556
203R,51.408003541666666,12.199022361111112
203,51.40801729166667,12.199356527777779
203L,51.408033333333336,12.199649166666667
204,51.40805715277778,12.200057777777777
205R,51.408076111111114,12.200441249999999
205,51.40808611111111,12.200700763888888
205L,51.40810451388889,12.201039097222221
207R,51.40812743055555,12.201465555555554
207,51.408146875,12.201919930555555
208,51.40817020833333,12.202459999999999
209,51.40819659722222,12.203001805555555
209L,51.40821291666666,12.203387430555555
211,51.408264583333334,12.204665416666666
212,51.40829,12.205495625
301,51.425732777777775,12.230042291666667
302,51.42575756944444,12.230374166666667
303,51.42578861111111,12.230892083333334
304,51.425812638888885,12.231417847222222
305,51.42583819444444,12.231940208333334
306,51.42583638888889,12.232785
307,51.42587694444444,12.234047777777777
308,51.42592472222222,12.235289444444444
401,51.406754166666666,12.231201666666667
402,51.406886111111106,12.234293055555554
403,51.407245833333334,12.231140555555555
404,51.40738944444444,12.23424
405,51.40776861111111,12.231085555555556
406,51.407911666666664,12.234185277777778
407,51.408273333333334,12.231041666666666
408,51.408405277777774,12.234133333333332
409,51.40877138888889,12.230989166666667
410,51.40891722222222,12.234065
411,51.409282222222224,12.230944722222223
412,51.40941027777777,12.23399861111111
421,51.40687694444444,12.23573861111111
422,51.40702527777778,12.23905861111111
423,51.407265555555554,12.23568861111111
424,51.407420277777774,12.239016944444444
425,51.40763611111111,12.235649722222222
426,51.407803333333334,12.238985833333333
427,51.408025555555554,12.235617777777778
428,51.408185277777775,12.238927222222221
429,51.408407777777775,12.235568333333333
430,51.408567777777776,12.238877777777777
431,51.40878444444444,12.235528888888888
432,51.40894972222222,12.238819166666666
433,51.40916138888889,12.235489166666666
434,51.409325833333334,12.238770555555554
435,51.40955583333333,12.235438333333333
436,51.409708055555555,12.238711944444443
441,51.407201388888886,12.240604444444443
441L,51.407093680555555,12.240606527777777
442,51.40731944444444,12.243576944444444
443R,51.40780680555555,12.240548125
443,51.40766145833334,12.240554999999999
443L,51.40744145833333,12.240582569444443
444,51.40782972222222,12.243523333333332
445,51.408229444444444,12.240526319444443
445L,51.40809604166667,12.240520624999998
446,51.408339444444444,12.243451388888888
447R,51.40881284722222,12.24046298611111
447,51.408679375,12.24047048611111
447L,51.40846222222222,12.240494027777777
448,51.40884416666667,12.24340722222222
449,51.409236388888885,12.240413680555555
449L,51.40910652777778,12.240418819444443
450,51.40935361111111,12.243335277777778
451R,51.409841944444445,12.240352777777776
451,51.409689722222225,12.240373472222222
451L,51.409471180555556,12.240394652777777
452,51.40985722222222,12.243263888888889
461,51.40740381944444,12.24528361111111
462R,51.407436249999996,12.248390624999999
462,51.40758909722222,12.24837597222222
464,51.40779423611111,12.248354374999998
466,51.40801034722222,12.248330902777777
466L,51.408200763888885,12.248310069444443
468R,51.408445972222225,12.248286666666665
468,51.408614722222225,12.248264097222222
470,51.408824930555554,12.24823534722222
472,51.40902763888889,12.248208333333332
472L,51.40920159722222,12.248189027777777
474R,51.409466527777774,12.248164583333333
474,51.40961263888889,12.248150208333332
476,51.40982951388889,12.248128888888887
478,51.41004708333333,12.248107916666665
478L,51.410184513888886,12.248094930555554
463,51.40765326388889,12.245248541666665
465,51.40792444444445,12.24521861111111
467,51.408429930555556,12.245205069444443
469,51.40868236111111,12.245171180555555
471,51.408935694444445,12.245156249999999
473,51.409430694444445,12.245107083333332
475,51.409701041666665,12.245100694444444
477,51.40995062499999,12.245068541666665
487R,51.41025909722222,12.249807361111111
487,51.41007111111111,12.24983
487L,51.40987236111111,12.249852847222222
485R,51.40950333333333,12.249895416666666
485,51.409301875,12.249918194444444
485L,51.40910284722222,12.24993909722222
483R,51.40873194444444,12.24998986111111
483,51.40852826388889,12.250008472222222
483L,51.408327013888886,12.250025833333332
481R,51.40797243055555,12.25007923611111
481,51.40776576388889,12.250101944444443
481L,51.40756576388888,12.25011923611111
501,51.409403194444444,12.22881125
502,51.409385625,12.228402916666667
503,51.40937076388889,12.227991527777778
504,51.40934,12.227179513888888
505,51.409320763888886,12.226763541666667
506,51.409306180555554,12.22634861111111
