stand,latcoord,longcoord
GAT,51.27542493055555,6.751977291666667
A01,51.28056861111111,6.767155833333334
A02,51.28102916666666,6.767244166666667
A03,51.28152,6.767361666666667
A04,51.28205722222222,6.767408333333333
A05,51.28205722222222,6.767408333333333
A07,51.28258527777778,6.766935277777778
A08,51.28260902777778,6.767377847222223
A09,51.28280173611111,6.766866597222222
A10,51.28192833333333,6.765539166666667
A11,51.28192833333333,6.765539166666667
A12,51.28149388888889,6.765439722222222
A12A,51.28149388888889,6.765439722222222
A13,51.28107388888889,6.765384166666666
A15,51.2806575,6.765361388888889
A16,51.28028666666667,6.765314444444445
B01,51.28013305555555,6.764172777777778
B02,51.280385833333334,6.763660833333334
B03,51.28062694444444,6.762842777777778
B04,51.2803675,6.762185833333334
B05,51.28021270833334,6.761649305555555
B06,51.27996838888889,6.761632277777778
B08,51.27939166666667,6.7617272222222224
B09,51.27909277777778,6.762542777777778
B10,51.27887777777778,6.7633197222222226
B11,51.278729999999996,6.763819722222222
C01,51.27774055555555,6.763325277777778
C02,51.277652777777774,6.762513888888889
C02A,51.277590277777776,6.762256944444444
C03,51.27713138888889,6.761647222222222
C03A,51.27713138888889,6.761647222222222
C04,51.276515277777776,6.761538611111111
C05,51.276087777777775,6.7620225
C06,51.27621055555556,6.762893333333333
C07,51.27625888888889,6.7636811111111115
C08x,51.276450277777776,6.764514166666666
V01,51.290099999999995,6.782139722222222
V02,51.289699236111105,6.781432013888889
V02A,51.289597361111106,6.781211180555555
V03,51.289339999999996,6.780669305555556
V03A,51.289338541666666,6.780921666666666
V04,51.289266319444444,6.780520902777778
V04A,51.28910097222222,6.780460277777777
V05,51.28907513888889,6.7801075
V05A,51.288875833333336,6.780032430555556
V06,51.28888194444444,6.779696597222222
V07,51.288746527777775,6.779499583333333
V07A,51.288746527777775,6.779499583333333
V08A,51.288756944444444,6.778639513888889
V08B,51.288555555555554,6.779131319444444
V08C,51.288372430555555,6.779113472222223
V11A,51.287949999999995,6.77703
V11B,51.28749555555555,6.776851111111111
V11C,51.28758,6.77744
V12,51.28771,6.77658
V14,51.28745,6.77604
V16,51.2872,6.77548
V17,51.28687,6.77501
V19,51.28659,6.77448
V20,51.28633,6.77393
V22,51.28608,6.77337
V23,51.28588,6.77274
V24,51.28563,6.77222
V25,51.28531722222222,6.771719444444444
V26,51.28505916666666,6.771186111111111
V27,51.28479972222222,6.770669722222222
V28,51.2846,6.77016
V29,51.28438,6.769669722222222
V29A,51.28418972222222,6.7691405555555555
V38,51.28592895833333,6.7762325
V38A,51.28579055555555,6.776138958333333
V38B,51.285555555555554,6.775652777777777
V39,51.28565291666666,6.775705555555556
V39A,51.285412638888886,6.7753250000000005
V40,51.285379513888884,6.775096805555555
V41,51.28511111111111,6.774694444444444
V41A,51.285,6.774451388888889
V42,51.28490055555555,6.773990277777778
V43,51.284659999999995,6.7734499999999995
V44,51.28442111111111,6.772909722222222
V45,51.284169999999996,6.77237
V46,51.283919999999995,6.77184
V47,51.283629999999995,6.77119
V49,51.283381388888884,6.7706888888888885
V51,51.283139999999996,6.77017
V53,51.28290222222222,6.7696075
V61,51.27992277777777,6.759436180555555
V61A,51.27972104166666,6.759432222222222
V62,51.279499305555554,6.759428541666667
V63,51.2791275,6.759175
V71,51.27750486111111,6.759269305555556
V72A,51.27725965277777,6.759270069444445
V72,51.277055555555556,6.759251666666667
V73,51.276672777777776,6.7590288888888885
V74,51.27629888888889,6.759187777777778
V75,51.27594277777778,6.759457222222222
V76,51.275594444444444,6.759728611111111
V77x,51.275259444444444,6.760072222222222
V81x,51.27631083333333,6.756907777777778
V82x,51.27593972222222,6.757209722222222
V83x,51.27558,6.7574797222222225
V84x,51.27522,6.75776
V85x,51.27486,6.75804
V86x,51.27451,6.75836
V91x,51.27608,6.7558
V92x,51.27576,6.75605
V93x,51.27545,6.7563
V94x,51.27512972222222,6.756559722222222
V95x,51.27482,6.75681
V96x,51.27451,6.75707
V101x,51.27726388888889,6.753236111111111
V102x,51.277125,6.753347222222223
V103x,51.27684,6.75344
V104x,51.27654861111111,6.753819444444445
V105x,51.27641666666666,6.753923611111111
V106x,51.276109999999996,6.75403
V120x,51.276582222222224,6.7559652777777774
V121x,51.27694416666667,6.755686944444444
V122x,51.27730588888889,6.755707833333333
V123x,51.27736493055556,6.755374305555556
V124x,51.27792222222222,6.7563233333333335
V125x,51.27802472222222,6.757044722222222
V126x,51.277856666666665,6.756934305555555
V127x,51.27762027777778,6.757185833333334
V128x,51.27727965277778,6.757248333333333
V129x,51.27714708333333,6.757099375
V130x,51.27682861111111,6.7571763888888885
V111x,51.2779875,6.754979722222222
V113x,51.27762611111111,6.7552980555555555
V115x,51.27710805555555,6.755554166666666
V116x,51.277250555555554,6.756020555555556
V65x,51.277990555555554,6.759305
V64x,51.27838916666666,6.759288333333333
V63x,51.27880333333333,6.75932
